iter	RMSE
0	1.348822807
1	1.326446651
2	1.305440404
3	1.286098194
4	1.268163277
5	1.248855872
6	1.233816528
7	1.21763735
8	1.2002357
9	1.186497109
10	1.173094833
11	1.159102735
12	1.148433532
13	1.13730837
14	1.125257099
15	1.113731576
16	1.103558711
17	1.094783616
18	1.083541781
19	1.074386376
20	1.06504218
21	1.054843808
22	1.046845953
23	1.038986814
24	1.030492649
25	1.023717995
26	1.016594937
27	1.010716515
28	1.003063295
29	0.9973882394
30	0.9917820094
31	0.9855111617
32	0.9801973897
33	0.9743693988
34	0.9682175161
35	0.9619430241
36	0.9570879624
37	0.95226095
38	0.9463149297
39	0.9425713425
40	0.9372677289
41	0.930744891
42	0.9256987605
43	0.9211333554
44	0.9178157222
45	0.9132943964
46	0.9096414819
47	0.9062658726
48	0.9015871535
49	0.8972205898
50	0.8925821072
51	0.8896351223
52	0.8866831662
53	0.8824550474
54	0.8792455707
55	0.8758255179
56	0.8720038042
57	0.8689204647
58	0.8637922956
59	0.8600127702
60	0.8563325222
61	0.8525448576
62	0.8501996803
63	0.8464173357
64	0.8436595589
65	0.8413485172
66	0.8381375059
67	0.8351499554
68	0.8332950682
69	0.8306994966
70	0.8277964504
71	0.825204005
72	0.8231326715
73	0.8199743309
74	0.8174580272
75	0.8152658831
76	0.8118100589
77	0.8080913355
78	0.8057088857
79	0.8033299615
80	0.8011441121
81	0.7995531128
82	0.796268176
83	0.7935202715
84	0.790505028
85	0.7876944597
86	0.7852675671
87	0.7827291782
88	0.7805274607
89	0.778600144
90	0.7758175918
91	0.7724827915
92	0.7701446285
93	0.7686804086
94	0.7667854911
95	0.7650752036
96	0.7619081491
97	0.7594756399
98	0.757690671
99	0.7550365576
