iter	Passed	Remaining
0	27	2681
1	49	2440
2	70	2285
3	92	2212
4	114	2171
5	136	2131
6	162	2161
7	183	2109
8	205	2075
9	228	2059
10	250	2025
11	271	1991
12	293	1965
13	318	1957
14	343	1948
15	365	1919
16	389	1899
17	411	1876
18	434	1851
19	455	1823
20	477	1795
21	498	1765
22	519	1738
23	540	1711
24	564	1692
25	583	1661
26	607	1643
27	632	1626
28	658	1612
29	681	1590
30	702	1564
31	723	1537
32	743	1509
33	763	1482
34	784	1457
35	810	1440
36	831	1415
37	854	1394
38	877	1371
39	899	1348
40	920	1324
41	942	1301
42	963	1277
43	984	1253
44	1007	1230
45	1028	1207
46	1049	1183
47	1072	1162
48	1093	1138
49	1113	1113
50	1135	1090
51	1156	1067
52	1176	1043
53	1200	1023
54	1224	1001
55	1245	978
56	1266	955
57	1288	933
58	1310	910
59	1332	888
60	1352	864
61	1374	842
62	1398	821
63	1419	798
64	1439	775
65	1460	752
66	1479	728
67	1497	704
68	1515	680
69	1537	658
70	1558	636
71	1579	614
72	1599	591
73	1621	569
74	1647	549
75	1681	530
76	1705	509
77	1727	487
78	1748	464
79	1766	441
80	1787	419
81	1806	396
82	1824	373
83	1844	351
84	1865	329
85	1886	307
86	1906	284
87	1926	262
88	1947	240
89	1968	218
90	1993	197
91	2014	175
92	2037	153
93	2058	131
94	2080	109
95	2101	87
96	2125	65
97	2147	43
98	2170	21
99	2191	0
